PROGRAM,PRINCPIAL INVESTIGATOR,INSTITUTE,STATUS,MODEL,MODEL_DETAIL,BASIN,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,STATION,DEPLOYMENT SHIP,IMEI,REF,SERIAL NUMBER
Argo Dalhousie,Katja Fennel,Dal,OPERATIONAL,PROVOR,PROVOR_CTS5,ATL,2026-07-11T19:13:00,56.94591,-39.91054,,LOUIS S. ST. LAURENT,300125063315260,4902720,P5389A-25CA005
Argo Dalhousie,Katja Fennel,Dal,OPERATIONAL,PROVOR,PROVOR_CTS5,ATL,2026-06-05T05:02:12,55.61119,-53.63060,AR7W_11,JAMES COOK,300125063318510,4902731,P5389B-25CA001
Argo Dalhousie,Katja Fennel,Dal,OPERATIONAL,PROVOR,PROVOR_CTS5,ATL,2026-06-02T04:38:11,58.680396,-50.458811,AR7W_19,JAMES COOK,300125063419060,4902734,P5389B-25CA004
Argo Dalhousie,Katja Fennel,Dal,OPERATIONAL,PROVOR,PROVOR_CTS5,ATL,2026-07-12T14:25:00,58.68388,-32.64237,,LOUIS S. ST. LAURENT,300125063414050,4902743,P5389B-25CA005
Argo Dalhousie,Katja Fennel,Dal,OPERATIONAL,PROVOR,PROVOR_CTS5,ATL,2026-07-10T15:40:00,52.87044,-43.90057,,LOUIS S. ST. LAURENT,300125063413300,4902721,P5389A-25CA006
Argo Dalhousie,Katja Fennel,Dal,OPERATIONAL,PROVOR,PROVOR_CTS5,ATL,2026-05-28T06:05:00,57.3766,-51.7914,AR7W_16,JAMES COOK,300125063217740,4902729,P5389A-25CA007
Argo Dalhousie,Katja Fennel,Dal,OPERATIONAL,PROVOR,PROVOR_CTS5,ATL,2026-05-29T16:46:15,59.4833,-49.4755,AR7W_21,JAMES COOK,300125063211730,4902722,P5389A-25CA008
Argo Dalhousie,Katja Fennel,Dal,OPERATIONAL,PROVOR,PROVOR_CTS5,ATL,2026-07-09T23:38:00,50.30138,-44.95500,,LOUIS S. ST. LAURENT,300125063213730,4902724,P5389B-25CA006
Argo Dalhousie,Katja Fennel,Dal,OPERATIONAL,PROVOR,PROVOR_CTS5,ATL,2026-05-27T13:45:00,56.5362,-52.6785,AR7W_14,JAMES COOK,300125063215730,4902736,P5389B-25CA009
Argo Dalhousie,Katja Fennel,Dal,OPERATIONAL,PROVOR,PROVOR_CTS5,ATL,2026-05-04T10:20:00,61.6455,-37.2247,,MERIAN,300125063415280,4902727,P5389A-25CA002
Argo Dalhousie,Katja Fennel,Dal,OPERATIONAL,PROVOR,PROVOR_CTS5,ATL,2026-05-03T19:17:00,59.2896,-40.1547,,MERIAN,300125063313520,4902719,P5389A-25CA004
Argo Dalhousie,Katja Fennel,Dal,OPERATIONAL,PROVOR,PROVOR_CTS5,ATL,2026-05-03T10:22:00,57.9958,-41.9747,,MERIAN,300125063411300,4902732,P5389B-25CA002
Argo Dalhousie,Katja Fennel,Dal,OPERATIONAL,PROVOR,PROVOR_CTS5,ATL,2026-04-27T05:15:26,42.4758,-61.3820,HL_07,JAMES COOK,300125063318200,4902733,P5389B-25CA003
Argo Dalhousie,Katja Fennel,Dal,OPERATIONAL,PROVOR,PROVOR_CTS5,ATL,2026-04-29T23:07:57,43.4717,-57.5277,LL_09,JAMES COOK,300125063217730,4902725,P5389B-25CA007
Argo Dalhousie,Katja Fennel,Dal,OPERATIONAL,PROVOR,PROVOR_CTS5,ATL,2026-05-02T10:32:00,54.2361,-46.0642,,MERIAN,300125063128670,4902735,P5389B-25CA008
Argo Dalhousie,Katja Fennel,Dal,OPERATIONAL,PROVOR,PROVOR_CTS5,ATL,2026-05-02T18:40:00,55.4984,-44.7210,,MERIAN,300125063212730,4902730,P5389A-25CA009
Argo Canada,Blair Greenan,BIO,OPERATIONAL,APEX,APEX_RBR,ATL,2026-06-05T05:14:10,55.6121,-53.6331,AR7W_11,JAMES COOK,300125063712060,4902723,11421
Argo Dalhousie,Katja Fennel,Dal,CONFIRMED,PROVOR,PROVOR_CTS5,ATL,2026-10-10,42.5,-61.5,HL_07,JAMES COOK,,,P5389B-25CA004
Argo Dalhousie,Katja Fennel,Dal,CONFIRMED,PROVOR,PROVOR_CTS5,ATL,2026-10-10,43.5,-57.5,LL_09,JAMES COOK,,,P5389B-25CA009
Argo Dalhousie,Katja Fennel,Dal,AVAILABLE,PROVOR,PROVOR_CTS5,,,,,,,,,P5389A-25CA005
Argo Dalhousie,Katja Fennel,Dal,AVAILABLE,PROVOR,PROVOR_CTS5,,,,,,,,,P5389A-25CA006
Argo Dalhousie,Katja Fennel,Dal,AVAILABLE,PROVOR,PROVOR_CTS5,,,,,,,,,P5389A-25CA001
Argo Dalhousie,Katja Fennel,Dal,AVAILABLE,PROVOR,PROVOR_CTS5,,,,,,,,,P5389A-25CA008
Argo Dalhousie,Katja Fennel,Dal,AVAILABLE,PROVOR,PROVOR_CTS5,,,,,,,,,P5389B-25CA001
Argo Dalhousie,Katja Fennel,Dal,AVAILABLE,PROVOR,PROVOR_CTS5,,,,,,,,,P5389A-25CA007
Argo Dalhousie,Katja Fennel,Dal,AVAILABLE,PROVOR,PROVOR_CTS5,,,,,,,,,P5389A-25CA003
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_SBE,,,,,,,,,11376
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_SBE,,,,,,,,,11377
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_SBE,,,,,,,,,11378
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_SBE,,,,,,,,,11379
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_SBE,,,,,,,,,11380
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_SBE,,,,,,,,,11381
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_SBE,,,,,,,,,11382
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_SBE,,,,,,,,,11383
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_SBE,,,,,,,,,11384
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_SBE,,,,,,,,,11385
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_SBE,,,,,,,,,11386
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_SBE,,,,,,,,,11387
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_SBE,,,,,,,,,11388
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_SBE,,,,,,,,,11389
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_SBE,,,,,,,,,11390
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_RBR,,,,,,,,,11415
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_RBR,,,,,,,,,11416
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_RBR,,,,,,,,,11417
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_RBR,,,,,,,,,11418
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_RBR,,,,,,,,,11419
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_RBR,,,,,,,,,11420
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_RBR,,,,,,,,,11422
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_RBR,,,,,,,,,11500
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_RBR,,,,,,,,,11501
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_RBR,,,,,,,,,11502
Argo Canada,Blair Greenan,BIO,AVAILABLE,ARVOR,ARVOR_SBE,,,,,,,,,AI2600-22CA001
